rera_no,project_name,promoter,location,district,pincode,state,last_modified,source
P51700000420,Palava Clara J-M,Lodha Developers Limited,Kalyan,Thane,421202,MAHARASHTRA,2018-09-28,maharera
P52100004302,ROYALE VISION,NIRMAN VISION,Haveli,Pune,412101,MAHARASHTRA,2018-01-15,maharera
P52100001750,Supreme Amadore,Supreme High Spaces LLP,Haveli,Pune,411045,MAHARASHTRA,2020-06-13,maharera
P51800000582,Supreme 19,Supreme Mega Constructions LLP,Andheri,Mumbai Suburban,400053,MAHARASHTRA,2017-07-18,maharera
P51800000451,Vasundhara,Infinity Construction Co.,Kurla,Mumbai Suburban,400077,MAHARASHTRA,2017-07-18,maharera
P51700000635,Sunrise A,Agile Real Estate Pvt. Ltd.,Thane,Thane,400607,MAHARASHTRA,2018-07-16,maharera
P51800002556,Hillcrest A Wing,Hillcrest Joint Venture,Andheri,Mumbai Suburban,400096,MAHARASHTRA,2017-08-01,maharera
P52100001551,Bhagyoday Residency Wing B,K C B Builders,Haveli,Pune,412101,MAHARASHTRA,2021-09-09,maharera
P52100001061,EMINENCE PROJECT 1,NAIKNAVARE DEVELOPERS PVT LTD,Haveli,Pune,411047,MAHARASHTRA,2021-09-08,maharera
P51900002722,THE SOUTH BAY,MESACON TRIUMPH DEVELOPERS,Ward ABCD,Mumbai City,400007,MAHARASHTRA,2020-06-16,maharera
P52100001253,INDRAYAN,Gruha Navnirman Developers,Pune City,Pune,411030,MAHARASHTRA,2017-07-27,maharera
P99000002691,VINAY UNIQUE HEIGHTS,SUV DEVELOPERS,Vasai,Palghar,401303,MAHARASHTRA,2017-08-02,maharera
P51800007235,SATRA PARK,SHREENIVAS DEVELOPERS,Borivali,Mumbai Suburban,400092,MAHARASHTRA,2017-08-17,maharera
P52100004563,Snehalbaug Co-operative Housing Society Limited,Kelkar Pinnac Housing LLP,Haveli,Pune,411009,MAHARASHTRA,2017-08-09,maharera
P51700000625,Sunrise C,Agile Real Estate Pvt. Ltd.,Thane,Thane,400607,MAHARASHTRA,2018-07-16,maharera
