building,location,bhk,sqft,furnishing,price,listed_date,source
Hicon Residency,Bandra West,2 BHK,890 sqft,Semi-Furnished,₹2 L,Listed 28 May 2026 · 10:00 PM,propi_in
Passion Flower,Bandra West,2 BHK,700 sqft,Semi-Furnished,₹4.40 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
Montreal,Malad West,2 BHK,,Unfurnished,₹75000,Listed 28 May 2026 · 10:00 PM,propi_in
Shikhar,Santacruz West,4 BHK,,Semi-Furnished,₹9.50 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
Shikhar,Santacruz West,5 BHK,3300 sqft,Semi-Furnished,₹12.00 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
Jiten Chs,Andheri West,2 BHK,692 sqft,Semi-Furnished,₹2.55 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
Sethia Link View,Goregaon West,4 BHK,,Fully Furnished,₹37.00 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
SM Residency,Kharghar,3 BHK,,Semi-Furnished,₹95 L,Listed 28 May 2026 · 10:00 PM,propi_in
Shripal Nagar Building,Nepeansea Road,1.5 BHK,420 sqft,Semi-Furnished,₹2.94 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
Vasant Oasis,Andheri East,4 BHK,,Fully Furnished,₹10.00 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
Address 51,Bandra East,2 BHK,,Semi-Furnished,₹60 L,Listed 28 May 2026 · 10:00 PM,propi_in
West Side,Bandra West,2 BHK,801 sqft,Semi-Furnished,₹4.50 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
Pushpa Vihar CHS,Colaba,2.5 BHK,700 sqft,Semi-Furnished,₹2 L,Listed 28 May 2026 · 10:00 PM,propi_in
New Saket,Santacruz West,3 BHK,1130 sqft,Semi-Furnished,₹6.40 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
Park Avenue,Khar West,3 BHK,1000 sqft,Semi-Furnished,₹6.50 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
Excella Apartment,Bandra West,3 BHK,1110 sqft,Semi-Furnished,₹6.20 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
Maya Mahal,Khar West,2 BHK,660 sqft,Semi-Furnished,₹4.25 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
Nine Aces,Khar West,2 BHK,718 sqft,Semi-Furnished,₹4.25 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
Alpine Vistara,Santacruz East,2 BHK,726 sqft,Semi-Furnished,₹2.41 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
Laxmi Mahal,Breach Candy,1 BHK,550 sqft,Semi-Furnished,₹1 L,Listed 28 May 2026 · 10:00 PM,propi_in
Aspire,Kandivali West,2 BHK,,Fully Furnished,₹1.90 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
Garden King,Santacruz West,4 BHK,,Semi-Furnished,₹15.00 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
City Of Joy II,Mulund West,2 BHK,,Semi-Furnished,₹50000,Listed 28 May 2026 · 10:00 PM,propi_in
Lodha Kiara,Worli,3 BHK,1400 sqft,Semi-Furnished,₹10.00 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
Indra Darshan,Andheri West,1 BHK,600 sqft,Semi-Furnished,₹2.50 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
Malabar Apartment,Nepeansea Road,1 BHK,657 sqft,Semi-Furnished,₹3.75 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
Imperia Garden,Tardeo,2 BHK,900 sqft,Semi-Furnished,₹5.70 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
Malabar Apartment,Nepeansea Road,2 BHK,980 sqft,Fully Furnished,₹5.75 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
Shyam Niwas,Breach Candy,2 BHK,1200 sqft,Semi-Furnished,₹7.00 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
Om Dariya Mahal,Nepeansea Road,3 BHK,1400 sqft,Semi-Furnished,₹8.50 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
R A Residences,Dadar East,3 BHK,1754 sqft,Unfurnished,₹10.30 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
The Primordial House,Grant Road,4 BHK,,Unfurnished,₹10.00 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
Khalakdina Terrace,Tardeo,4 BHK,,Semi-Furnished,₹13.50 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
Breach Candy Apartment,Breach Candy,4 BHK,,Semi-Furnished,₹15.00 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
Gokul Niwas,Mahim,4 BHK,,Semi-Furnished,₹19.00 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
Shanti Niketan,Marine Drive,4 BHK,,Semi-Furnished,₹25.00 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
Prithvi Apartments,Tardeo,4 BHK,2242 sqft,Semi-Furnished,₹27.00 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
Vastu Shilp,Tardeo,6 BHK,3850 sqft,Semi-Furnished,₹30.00 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
Lodha Venezia,Parel,4 BHK,1700 sqft,Semi-Furnished,₹9.50 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
Sethia Link View,Goregaon West,3 BHK,,Fully Furnished,₹10.00 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
Everest World Phase V,Thane West,4 BHK,,Semi-Furnished,₹15.00 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
One World Centre,Lower Parel,4 BHK,,Fully Furnished,₹16.00 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
Baba Sadguru,Chembur,2 BHK,,Fully Furnished,₹4.00 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
Veesita Luxuria,Tardeo,1 BHK,315 sqft,Fully Furnished,₹1.51 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
Shreepati Jewels,Girgaon,2.5 BHK,1000 sqft,Semi-Furnished,₹4.50 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
Hindu Colony,Dadar East,3 BHK,2046 sqft,Semi-Furnished,₹11.00 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
Poonam Chambers,Worli,4 BHK,,Semi-Furnished,₹8 L,Listed 28 May 2026 · 10:00 PM,propi_in
Tanna Residency,Prabhadevi,3 BHK,1900 sqft,Semi-Furnished,₹10.00 Cr,Listed 28 May 2026 · 10:00 PM,propi_in
Hassa Mahal,Cuffe Parade,2.5 BHK,1020 sqft,Semi-Furnished,₹6.50 Cr,Listed 28 May 2026 · 08:01 PM,propi_in
The One,Bandra West,7 BHK,,Semi-Furnished,₹19 L,Listed 28 May 2026 · 08:01 PM,propi_in
Four Units Bungalows,Vashi,3 BHK,,Semi-Furnished,₹1 L,Listed 28 May 2026 · 08:00 PM,propi_in
Four Units Bungalows,Vashi,2 BHK,,Semi-Furnished,₹70000,Listed 28 May 2026 · 08:00 PM,propi_in
Lokhandwala Residency,Worli,1 BHK,550 sqft,Fully Furnished,₹50000,Listed 28 May 2026 · 08:00 PM,propi_in
Bay View,Bandra West,1 BHK,,Semi-Furnished,₹1.90 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
Tardeo Court,Tardeo,3 BHK,1100 sqft,Semi-Furnished,₹6.25 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
Samudra Gaurav,Worli,3 BHK,,Unfurnished,₹3 L,Listed 28 May 2026 · 08:00 PM,propi_in
Shiv Tapi,Gamdevi,2 BHK,800 sqft,Semi-Furnished,₹7.00 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
Lodha Venezia,Parel,4 BHK,1660 sqft,Semi-Furnished,₹9.00 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
Navyug Mansion,Grant Road,2 BHK,900 sqft,Fully Furnished,₹3.75 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
The One,Bandra West,2 BHK,,Semi-Furnished,₹2 L,Listed 28 May 2026 · 08:00 PM,propi_in
Piramal Aranya,Byculla,3 BHK,1600 sqft,Semi-Furnished,₹7.00 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
Kalpataru Horizon,Worli,3 BHK,1850 sqft,Fully Furnished,₹14.00 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
RNA Mirage,Worli,6 BHK,4000 sqft,Semi-Furnished,₹22.50 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
Ashok Gardens,Sewri,2 BHK,1000 sqft,Semi-Furnished,₹5.80 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
Vaastu,Juhu,2 BHK,616 sqft,Semi-Furnished,₹1 L,Listed 28 May 2026 · 08:00 PM,propi_in
Rustomjee Cleon,Bandra East,2 BHK,540 sqft,Fully Furnished,₹3.20 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
Hindu Colony,Dadar East,1 BHK,440 sqft,Semi-Furnished,₹2.35 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
Wellington View,Tardeo,2 BHK,875 sqft,Semi-Furnished,₹5.20 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
Marina Bay,Worli,3 BHK,1817 sqft,Unfurnished,₹8 L,Listed 28 May 2026 · 08:00 PM,propi_in
Crescent Bay Tower 3,Parel,2.5 BHK,800 sqft,Semi-Furnished,₹5.00 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
Chandak Paloma,Goregaon East,2 BHK,,Fully Furnished,₹78000,Listed 28 May 2026 · 08:00 PM,propi_in
Kakad Chambers,Worli,,1232 sqft,Fully Furnished,₹4 L,Listed 28 May 2026 · 08:00 PM,propi_in
Lokhandwala Minerva,Mahalaxmi,3.5 BHK,2662 sqft,Semi-Furnished,₹12.50 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
Monte South,Byculla,3.5 BHK,1670 sqft,Semi-Furnished,₹8.60 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
Kesar Equinox,Dadar East,3 BHK,,Semi-Furnished,₹6.90 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
Matoshree Pride,Parel,3 BHK,1130 sqft,Semi-Furnished,₹4.05 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
Magnum Tower,Parel,2.5 BHK,900 sqft,Fully Furnished,₹5.00 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
Kinjal Tower,Mahalaxmi,2 BHK,,Semi-Furnished,₹3.75 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
Lodha Elisium,Wadala,2.5 BHK,912 sqft,Fully Furnished,₹4.50 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
Aaditya Elegance,Matunga West,2 BHK,675 sqft,Semi-Furnished,₹3.50 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
Jayant Sapphire,Prabhadevi,2 BHK,,Semi-Furnished,₹4.00 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
Orbit Terraces,Lower Parel,2 BHK,,Semi-Furnished,₹2.75 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
Sugee Atharva,Prabhadevi,1 BHK,390 sqft,Semi-Furnished,₹2.10 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
Ritu Apartments,Walkeshwar,2 BHK,1045 sqft,Semi-Furnished,₹9.60 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
Raheja Odyssey,Kandivali East,4 BHK,1132 sqft,Semi-Furnished,₹4.55 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
Challenger Tower,Kandivali East,2 BHK,721 sqft,Semi-Furnished,₹2.35 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
Platinum Heights,Andheri West,3 BHK,,Semi-Furnished,₹1 L,Listed 28 May 2026 · 08:00 PM,propi_in
White City,Kandivali East,2 BHK,,Semi-Furnished,₹55000,Listed 28 May 2026 · 08:00 PM,propi_in
Lodha World View,Lower Parel,3 BHK,1709 sqft,Semi-Furnished,₹8 L,Listed 28 May 2026 · 08:00 PM,propi_in
Omega Luxuria,Prabhadevi,3 BHK,1800 sqft,Semi-Furnished,₹11.00 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
UK Iridium,Kandivali East,1 BHK,360 sqft,Semi-Furnished,₹1.30 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
Sapphire Heights I,Kandivali East,2.5 BHK,,Semi-Furnished,₹2.25 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
JP Decks,Goregaon East,2 BHK,900 sqft,Fully Furnished,₹75000,Listed 28 May 2026 · 08:00 PM,propi_in
Avenue 14,Dadar East,3 BHK,,Unfurnished,₹2 L,Listed 28 May 2026 · 08:00 PM,propi_in
Fortuna Blue,Lower Parel,2.5 BHK,750 sqft,Semi-Furnished,₹1 L,Listed 28 May 2026 · 08:00 PM,propi_in
Rustomjee Azziano,Thane West,3 BHK,1057 sqft,Semi-Furnished,₹2.40 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
Shree Sai,Kharghar,2 BHK,,Semi-Furnished,₹1.20 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
Park Woods,Thane West,3 BHK,1000 sqft,Semi-Furnished,₹1.85 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
Neelkanth Woods,Thane West,2.5 BHK,872 sqft,Semi-Furnished,₹2.15 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
Park Woods,Thane West,2 BHK,,Semi-Furnished,₹1.33 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
Azelia,Thane West,1.5 BHK,,Fully Furnished,₹92 L,Listed 28 May 2026 · 08:00 PM,propi_in
Azelia,Thane West,1 BHK,452 sqft,Semi-Furnished,₹66 L,Listed 28 May 2026 · 08:00 PM,propi_in
Runwal Eirene,Thane West,1 BHK,422 sqft,Semi-Furnished,₹78 L,Listed 28 May 2026 · 08:00 PM,propi_in
Villa Grand,Thane West,3 BHK,735 sqft,Semi-Furnished,₹1.80 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
Neelkanth Greens,Thane West,3 BHK,250 sqft,Fully Furnished,₹70000,Listed 28 May 2026 · 08:00 PM,propi_in
Mahavir Kalpavruksha,Thane West,1.5 BHK,421 sqft,Semi-Furnished,₹69 L,Listed 28 May 2026 · 08:00 PM,propi_in
Pride Residency,Thane West,1 BHK,458 sqft,Semi-Furnished,₹65 L,Listed 28 May 2026 · 08:00 PM,propi_in
Kalpataru Sunrise,Thane West,2 BHK,535 sqft,Semi-Furnished,₹97 L,Listed 28 May 2026 · 08:00 PM,propi_in
Lodha Amara,Thane West,4 BHK,2360 sqft,Semi-Furnished,₹90000,Listed 28 May 2026 · 08:00 PM,propi_in
Wadhwa Rhodesia,Thane West,2 BHK,,Semi-Furnished,₹65000,Listed 28 May 2026 · 08:00 PM,propi_in
Puranik Aarambh,Thane West,2 BHK,,Semi-Furnished,₹80 L,Listed 28 May 2026 · 08:00 PM,propi_in
Bhoomi Acres,Thane West,1 BHK,300 sqft,Semi-Furnished,₹56 L,Listed 28 May 2026 · 08:00 PM,propi_in
Runwal Estate,Thane West,3 BHK,875 sqft,Fully Furnished,₹57000,Listed 28 May 2026 · 08:00 PM,propi_in
Lodha Sterling,Thane West,2 BHK,820 sqft,Semi-Furnished,₹60000,Listed 28 May 2026 · 08:00 PM,propi_in
Lodha Luxuria,Thane West,3 BHK,1100 sqft,Semi-Furnished,₹2.51 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
Sudarshan Sky Garden,Thane West,2 BHK,655 sqft,Semi-Furnished,₹1.00 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
Vardhman Garden,Thane West,2 BHK,640 sqft,Semi-Furnished,₹1.60 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
Runwal Estate,Thane West,,460 sqft,Semi-Furnished,₹1.02 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
Maruti Prasad,Vashi,1.5 BHK,615 sqft,Semi-Furnished,₹1.40 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
Neelkanth Palms,Thane West,2.5 BHK,1776 sqft,Fully Furnished,₹4.85 Cr,Listed 28 May 2026 · 08:00 PM,propi_in
Alpana,Peddar Road,4 BHK,2500 sqft,Fully Furnished,₹6 L,Listed 28 May 2026 · 06:44 PM,propi_in
Khushnuma Apartment,Altamount Road,2 BHK,1000 sqft,Semi-Furnished,₹3 L,Listed 28 May 2026 · 06:43 PM,propi_in
Lodha Amara,Thane West,2 BHK,722 sqft,Semi-Furnished,₹1.48 Cr,Listed 28 May 2026 · 06:01 PM,propi_in
Laxmi Narayan Residency,Thane West,2 BHK,,Semi-Furnished,₹1.70 Cr,Listed 28 May 2026 · 06:01 PM,propi_in
Jasmine Towers,Thane West,2 BHK,,Fully Furnished,₹50000,Listed 28 May 2026 · 06:01 PM,propi_in
Lodha Casa Viva,Thane West,1 BHK,454 sqft,Semi-Furnished,₹86 L,Listed 28 May 2026 · 06:01 PM,propi_in
Pioneer Park,Thane West,2 BHK,1000 sqft,Semi-Furnished,₹1.28 Cr,Listed 28 May 2026 · 06:01 PM,propi_in
Laxmi Narayan,Santacruz West,2 BHK,,Semi-Furnished,₹1.75 Cr,Listed 28 May 2026 · 06:01 PM,propi_in
Happy Valley Homes,Thane West,1 BHK,,Semi-Furnished,₹68 L,Listed 28 May 2026 · 06:01 PM,propi_in
Neelkanth Height,Ghansoli,2 BHK,,Semi-Furnished,₹1.70 Cr,Listed 28 May 2026 · 06:01 PM,propi_in
Bhoomi Acres,Thane West,2 BHK,660 sqft,Semi-Furnished,₹1.25 Cr,Listed 28 May 2026 · 06:01 PM,propi_in
Lodha Casa Viva,Thane West,1 BHK,454 sqft,Semi-Furnished,₹67 L,Listed 28 May 2026 · 06:01 PM,propi_in
Highland residency,Thane West,2 BHK,,Fully Furnished,₹1.18 Cr,Listed 28 May 2026 · 06:01 PM,propi_in
Amber Mahavir,Ghatkopar West,2 BHK,670 sqft,Semi-Furnished,₹1.70 Cr,Listed 28 May 2026 · 06:01 PM,propi_in
Dosti West County - Dosti Cedar,Thane West,3 BHK,,Fully Furnished,₹1.95 Cr,Listed 28 May 2026 · 06:01 PM,propi_in
Kalpataru Immensa,Thane West,3 BHK,991 sqft,Semi-Furnished,₹2.00 Cr,Listed 28 May 2026 · 06:01 PM,propi_in
Cardinal,Thane West,2.5 BHK,,Semi-Furnished,₹3.00 Cr,Listed 28 May 2026 · 06:01 PM,propi_in
Bhakti Park,Dadar West,2 BHK,,Semi-Furnished,₹65 L,Listed 28 May 2026 · 06:01 PM,propi_in
Ashar Residency,Thane West,3 BHK,,Fully Furnished,₹2.10 Cr,Listed 28 May 2026 · 06:01 PM,propi_in
Crown,Thane West,1 BHK,340 sqft,Semi-Furnished,₹56 L,Listed 28 May 2026 · 06:01 PM,propi_in
Piramal Vaikunth Vyan,Thane West,2 BHK,708 sqft,Semi-Furnished,₹1.62 Cr,Listed 28 May 2026 · 06:01 PM,propi_in
Neelkanth Woods,Thane West,3.5 BHK,,Semi-Furnished,₹3.80 Cr,Listed 28 May 2026 · 06:01 PM,propi_in
Neelkanth Woods,Thane West,5 BHK,,Semi-Furnished,₹4 L,Listed 28 May 2026 · 06:01 PM,propi_in
Pushpanjali,Walkeshwar,2 BHK,,Semi-Furnished,₹1.10 Cr,Listed 28 May 2026 · 06:01 PM,propi_in
Embassy,Andheri West,3.5 BHK,1205 sqft,Semi-Furnished,₹3.15 Cr,Listed 28 May 2026 · 06:01 PM,propi_in
Kalpataru Immensa,Thane West,3 BHK,1150 sqft,Semi-Furnished,₹2.05 Cr,Listed 28 May 2026 · 06:01 PM,propi_in
Crystal Spires,Thane West,2.5 BHK,1035 sqft,Fully Furnished,₹2.55 Cr,Listed 28 May 2026 · 06:01 PM,propi_in
Eden Woods,Thane West,2 BHK,700 sqft,Semi-Furnished,₹1.15 Cr,Listed 28 May 2026 · 06:01 PM,propi_in
Ratan Central,Parel,1 BHK,340 sqft,Semi-Furnished,₹87 L,Listed 28 May 2026 · 06:01 PM,propi_in
Soham Tropical Lagoon,Thane West,2 BHK,,Fully Furnished,₹58000,Listed 28 May 2026 · 06:01 PM,propi_in
Hiranandani Solus,Thane West,2 BHK,,Fully Furnished,₹60000,Listed 28 May 2026 · 06:01 PM,propi_in
Crystal Spires,Thane West,2.5 BHK,930 sqft,Semi-Furnished,₹60000,Listed 28 May 2026 · 06:01 PM,propi_in
Maruti Prasad,Vashi,,2000 sqft,Semi-Furnished,₹2 L,Listed 28 May 2026 · 06:01 PM,propi_in
Kalpataru Immensa,Thane West,2.5 BHK,900 sqft,Semi-Furnished,₹2.00 Cr,Listed 28 May 2026 · 06:01 PM,propi_in
Jai View,Santacruz West,3 BHK,,Semi-Furnished,₹2.60 Cr,Listed 28 May 2026 · 06:01 PM,propi_in
Dosti Vihar,Thane West,3 BHK,,Semi-Furnished,₹50000,Listed 28 May 2026 · 06:01 PM,propi_in
Dosti Vihar,Thane West,2.5 BHK,,Semi-Furnished,₹50000,Listed 28 May 2026 · 06:01 PM,propi_in
Embassy,Andheri West,3 BHK,1228 sqft,Fully Furnished,₹1 L,Listed 28 May 2026 · 06:01 PM,propi_in
Dosti Imperia,Thane West,4 BHK,,Semi-Furnished,₹4.60 Cr,Listed 28 May 2026 · 06:01 PM,propi_in
Neelkanth Palms,Thane West,2.5 BHK,,Semi-Furnished,₹60000,Listed 28 May 2026 · 06:01 PM,propi_in
Auralis The Twins,Thane West,2.5 BHK,1153 sqft,Fully Furnished,₹2.60 Cr,Listed 28 May 2026 · 06:01 PM,propi_in
Madhuban Society,Goregaon West,2 BHK,720 sqft,Semi-Furnished,₹1.80 Cr,Listed 28 May 2026 · 06:01 PM,propi_in
Poonam Apartment,Peddar Road,1 BHK,,Semi-Furnished,₹1 L,Listed 28 May 2026 · 06:01 PM,propi_in
Lodha Raj Infinia,Malad West,3 BHK,1095 sqft,Un Furnished,₹1 L,Listed 28 May 2026 · 06:01 PM,propi_in
Little Gift,Khar West,2 BHK,,Fully Furnished,₹1.50 Cr,Listed 28 May 2026 · 06:00 PM,propi_in
Arihant Darpan,Mulund East,3 BHK,,Semi-Furnished,₹65000,Listed 28 May 2026 · 06:00 PM,propi_in
Krishna Balaji,Malad West,2 BHK,,Fully Furnished,₹65000,Listed 28 May 2026 · 06:00 PM,propi_in
Sunteck City Avenue 2,Goregaon West,3 BHK,1036 sqft,Semi-Furnished,₹3.78 Cr,Listed 28 May 2026 · 06:00 PM,propi_in
Blue Excellency,Goregaon West,2 BHK,832 sqft,Fully Furnished,₹2.10 Cr,Listed 28 May 2026 · 06:00 PM,propi_in
Dattani Shelter,Goregaon West,3 BHK,1200 sqft,Semi-Furnished,₹3.30 Cr,Listed 28 May 2026 · 06:00 PM,propi_in
Kala Kunj CHS Ltd,Santacruz West,1 BHK,310 sqft,Semi-Furnished,₹1.35 Cr,Listed 28 May 2026 · 06:00 PM,propi_in
Hindu Colony,Dadar East,2 BHK,710 sqft,Semi-Furnished,₹3.00 Cr,Listed 28 May 2026 · 06:00 PM,propi_in
Esperanza,Bandra West,2 BHK,660 sqft,Semi-Furnished,₹3.50 Cr,Listed 28 May 2026 · 06:00 PM,propi_in
RNA Arcade,Andheri West,2 BHK,530 sqft,Fully Furnished,₹2.50 Cr,Listed 28 May 2026 · 06:00 PM,propi_in
Vardhman Estate,Parel,2 BHK,870 sqft,Semi-Furnished,₹4.10 Cr,Listed 28 May 2026 · 06:00 PM,propi_in
Sanghvi Estella,Byculla,2 BHK,,Semi-Furnished,₹3.00 Cr,Listed 28 May 2026 · 06:00 PM,propi_in
El Prado,Dadar East,3 BHK,,Semi-Furnished,₹11.00 Cr,Listed 28 May 2026 · 06:00 PM,propi_in
Madhu Park,Khar West,5 BHK,,Semi-Furnished,₹12 L,Listed 28 May 2026 · 06:00 PM,propi_in
Shree Ram Nivas,Malad East,3 BHK,790 sqft,Semi-Furnished,₹2.85 Cr,Listed 28 May 2026 · 06:00 PM,propi_in
Lodha Unica,Jogeshwari,1 BHK,346 sqft,Semi-Furnished,₹1.30 Cr,Listed 28 May 2026 · 06:00 PM,propi_in
Accord Classic,Goregaon East,,360 sqft,Fully Furnished,₹60000,Listed 28 May 2026 · 06:00 PM,propi_in
Kingston Building,Andheri West,1 BHK,,Semi-Furnished,₹60000,Listed 28 May 2026 · 06:00 PM,propi_in
Payal Riddhi,Kharghar,3 BHK,1000 sqft,Fully Furnished,₹2 L,Listed 28 May 2026 · 06:00 PM,propi_in
Beverly Hills,Andheri West,2 BHK,800 sqft,Semi-Furnished,₹3.60 Cr,Listed 28 May 2026 · 06:00 PM,propi_in
Lakshman,Borivali West,2.5 BHK,,Semi-Furnished,₹80000,Listed 28 May 2026 · 06:00 PM,propi_in
Surya Kiran,Kemps Corner,3 BHK,1250 sqft,Semi-Furnished,₹7.25 Cr,Listed 28 May 2026 · 06:00 PM,propi_in
Romell Diva,Malad West,3 BHK,1025 sqft,Semi-Furnished,₹3.00 Cr,Listed 28 May 2026 · 06:00 PM,propi_in
Shivam,Gamdevi,3 BHK,,Fully Furnished,₹1 L,Listed 28 May 2026 · 04:01 PM,propi_in
Basera,Andheri West,1 BHK,550 sqft,Fully Furnished,₹60000,Listed 28 May 2026 · 04:01 PM,propi_in
72 West,Andheri West,4 BHK,1850 sqft,Semi-Furnished,₹8.50 Cr,Listed 28 May 2026 · 04:01 PM,propi_in
Horizon Heights,Andheri East,2 BHK,580 sqft,Semi-Furnished,₹2.10 Cr,Listed 28 May 2026 · 04:01 PM,propi_in
ARC Aura,Andheri West,2 BHK,540 sqft,Semi-Furnished,₹1.72 Cr,Listed 28 May 2026 · 04:01 PM,propi_in
The Platinum,Andheri West,2 BHK,580 sqft,Semi-Furnished,₹1.75 Cr,Listed 28 May 2026 · 04:01 PM,propi_in
Casa Millennia,Andheri West,1 BHK,,Semi-Furnished,₹1.70 Cr,Listed 28 May 2026 · 04:01 PM,propi_in
Casa Divine,Andheri West,1 BHK,366 sqft,Semi-Furnished,₹1.50 Cr,Listed 28 May 2026 · 04:01 PM,propi_in
Omkar Ananta,Goregaon East,2 BHK,675 sqft,Semi-Furnished,₹2.25 Cr,Listed 28 May 2026 · 04:01 PM,propi_in
Pratik,Andheri West,2.5 BHK,,Fully Furnished,₹2 L,Listed 28 May 2026 · 04:00 PM,propi_in
Acme Stadium View,Andheri West,2 BHK,676 sqft,Fully Furnished,₹80000,Listed 28 May 2026 · 04:00 PM,propi_in
Raj Vastu,Juhu,3 BHK,1091 sqft,Semi-Furnished,₹4.90 Cr,Listed 28 May 2026 · 04:00 PM,propi_in
Kingston Building,Andheri West,2 BHK,,Semi-Furnished,₹80000,Listed 28 May 2026 · 04:00 PM,propi_in
Lodha Raj Infinia,Malad West,4 BHK,1600 sqft,Semi-Furnished,₹2 L,Listed 28 May 2026 · 04:00 PM,propi_in
DB Woods,Goregaon East,2 BHK,1480 sqft,Semi-Furnished,₹3.30 Cr,Listed 28 May 2026 · 04:00 PM,propi_in
Godrej Nest,Kandivali East,2 BHK,600 sqft,Semi-Furnished,₹1.75 Cr,Listed 28 May 2026 · 04:00 PM,propi_in
Godrej Nest,Kandivali East,1 BHK,425 sqft,Semi-Furnished,₹1.35 Cr,Listed 28 May 2026 · 04:00 PM,propi_in
Exotica,Juhu,2 BHK,685 sqft,Fully Furnished,₹2.80 Cr,Listed 28 May 2026 · 04:00 PM,propi_in
Ekta Meadows,Kandivali East,2 BHK,,Fully Furnished,₹2.50 Cr,Listed 28 May 2026 · 04:00 PM,propi_in
Indralok,Andheri West,3 BHK,,Fully Furnished,₹4.70 Cr,Listed 28 May 2026 · 04:00 PM,propi_in
Sethia Aashray,Kandivali East,1 BHK,470 sqft,Semi-Furnished,₹80 L,Listed 28 May 2026 · 04:00 PM,propi_in
